f,1,2,3,4,5,6
204,0.0859,0.0448,0.1816,0.2218,0.076,0.3898
205,0.0835,0.0431,0.1788,0.2438,0.0728,0.3779
206,0.0788,0.0398,0.1695,0.3595,0.0651,0.2873
207,0.2833,0.2906,0.1511,0.0704,0.1072,0.0974
208,0.0793,0.0403,0.1797,0.2525,0.0685,0.3798
209,0.4914,0.2055,0.114,0.0464,0.0776,0.0652
210,0.1012,0.0542,0.1957,0.2164,0.0895,0.343
211,0.0788,0.0412,0.1748,0.1653,0.073,0.4669
212,0.0665,0.0333,0.1764,0.1423,0.0608,0.5208
213,0.0838,0.0432,0.1764,0.288,0.0714,0.3372
214,0.3319,0.1309,0.2021,0.0576,0.1838,0.0936
215,0.288,0.2703,0.1566,0.0743,0.1091,0.1017
216,0.2833,0.2718,0.1573,0.0747,0.1104,0.1026
217,0.4844,0.2106,0.1145,0.0466,0.0782,0.0656
218,0.0803,0.0408,0.1729,0.3276,0.0672,0.3113
219,0.0801,0.0403,0.1776,0.3246,0.0667,0.3107
220,0.4851,0.1995,0.1187,0.0489,0.0797,0.0682
221,0.0816,0.0407,0.1896,0.2832,0.0686,0.3362
222,0.0827,0.0411,0.1944,0.2801,0.0693,0.3324
223,0.4083,0.2149,0.1401,0.0615,0.0916,0.0836
224,0.4815,0.174,0.1305,0.055,0.0837,0.0753
225,0.4804,0.2149,0.1144,0.0466,0.0783,0.0655
226,0.2833,0.3384,0.1353,0.0607,0.0974,0.085
227,0.2948,0.2912,0.1478,0.0684,0.1035,0.0942
228,0.4874,0.1663,0.1316,0.0554,0.0836,0.0757
229,0.1222,0.0685,0.2177,0.0603,0.4091,0.1223
230,0.0852,0.044,0.1782,0.2737,0.073,0.346
231,0.549,0.105,0.1398,0.0521,0.0815,0.0726
232,0.0803,0.0405,0.1795,0.298,0.0677,0.3341
233,0.0817,0.042,0.1779,0.2498,0.0709,0.3777
234,0.496,0.1662,0.1284,0.0537,0.0821,0.0736
235,0.1092,0.0614,0.1527,0.0418,0.5566,0.0782
236,0.1154,0.0596,0.1803,0.371,0.0805,0.1931
237,0.4421,0.1926,0.1372,0.0592,0.0884,0.0806
238,0.0829,0.0426,0.1742,0.308,0.07,0.3223
239,0.0785,0.04,0.1777,0.2305,0.0687,0.4046
240,0.0615,0.031,0.1602,0.1307,0.0567,0.5599
241,0.4621,0.1831,0.1338,0.057,0.0861,0.0779
242,0.2839,0.2951,0.1495,0.0694,0.1061,0.0961
243,0.112,0.0574,0.1767,0.3886,0.0778,0.1875
244,0.1093,0.0551,0.2518,0.0511,0.4284,0.1042
245,0.0817,0.0418,0.1729,0.3192,0.0687,0.3157
246,0.4955,0.1629,0.13,0.0545,0.0826,0.0745
247,0.2398,0.0882,0.3057,0.107,0.1162,0.143
248,0.0826,0.0425,0.1782,0.2495,0.0717,0.3755
249,0.4889,0.1023,0.1717,0.0553,0.1007,0.0811
250,0.1958,0.1359,0.2051,0.072,0.2662,0.1251
251,0.1199,0.0584,0.2504,0.0498,0.4244,0.0971
252,0.5122,0.1011,0.1611,0.0537,0.0941,0.0778
253,0.5208,0.1023,0.1556,0.0545,0.0894,0.0774
254,0.5157,0.1062,0.1544,0.0566,0.088,0.079
255,0.2492,0.1532,0.1929,0.0602,0.2439,0.1007
256,0.2554,0.1652,0.1891,0.0606,0.2293,0.1005
257,0.3064,0.3197,0.1349,0.0602,0.095,0.0837
258,0.4864,0.1054,0.1694,0.0599,0.0946,0.0844
259,0.356,0.2748,0.1352,0.0595,0.0924,0.0821
260,0.2476,0.0903,0.2971,0.1071,0.116,0.1418
261,0.4671,0.1247,0.1608,0.0496,0.121,0.0768
262,0.4842,0.1025,0.1739,0.0564,0.1006,0.0824
263,0.0692,0.035,0.1706,0.1662,0.0625,0.4965
264,0.302,0.3044,0.1414,0.0642,0.0992,0.0888
